Institución;Institución2;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
03 Poder Judicial;Poder Judicial;0;0;0;15,93213296;13,50914312;7,575;6,869;6,483;4,334;4,011;0,702
05 Ministerio del Interior y Seguridad Pública;MININTERIOR;8232,75382;7447,479913;5550,472383;5042,051488;4290,11788;6654,351;8433,746;10429,902;9993,12;10329,569;11392,868
06 Ministerio de Relaciones Exteriores;MINREL;576,9584887;539,8763479;681,1658577;830,3452823;1095,205532;1884,434;2086,043;3073,074;3776,755;3990,484;3575,51
07 Ministerio de Economía, Fomento y Turismo;MINECON;32091,18221;30352,65722;45241,58622;32831,4401;35023,41848;66232,904;65983,432;66364,425;53343,372;33980,52;32833,625
08 Ministerio de Hacienda;MINHACIENDA;0;0;0;0;0;0;0;0;17,5;61,594;18,116
09 Ministerio de Educación;MINEDUC;163918,5155;202622,4517;219635,2624;256514,8381;272576,8756;282814,217;296872,252;315013,949;320036,856;34770,673;33105,713
11 Ministerio de Defensa Nacional;MINDEFENSA;81,08144442;65,94580797;90,40440425;87,15813911;100,3536346;1079,542;934,149;1426,505;1761,282;304,473;575,031
12 Ministerio de Obras Públicas;MOP;40,96746666;21,10265855;14,32148978;0;0;172,905;154,5;113,944;129,732;5,477;72,539
13 Ministerio de Agricultura;MINAGRI;6559,915598;6623,596953;6330,098483;5577,183719;5854,283666;8599,993;8742,228;13010,716;14809,059;15902,277;16406,903
16 Ministerio de Salud;MINSAL;426,7444443;527,5664638;675,7952991;473,2780672;487,2940912;549,966;544,894;499,11;569,538;967,806;819,709
17 Ministerio de Minería;MINMINERIA;1865,726711;2997,456792;2593,084744;0;46,31706213;5026,183;4371,13;4079,176;4262,889;5976,706;5190,479
20 Ministerio Secretaría General de Gobierno;SEGEGOB;0;0;0;0;0;0;0;10;6,298;0;0
24 Ministerio de Energía;MINENERGIA;529,163111;402,7090673;429,6446934;4484,426835;705,3702588;0;115,573;196,911;87,831;20,169;25,31
25 Ministerio del Medio Ambiente;MMA;0;109,90968;110,0964527;83,40940194;80,08991994;50;107,635;0;0;0;0
Incentivo Tributario I+D;Ley I+D;0;493,2746436;2701,39101;9755,15129;8547,427841;8210,281;7397,116;8360,123;7205,372;7854,562;9377,211
MinCiencia;MINCIENCIA;0;0;0;0;0;0;0;0;0;311088,102;345682,748
MinDeporte;MINDEPORTE;0;0;0;0;0;0;0;0;0;30;22,485
MINVU;MINVU;0;0;0;0;0;0;0;0;0;30;70
