Institución;Institución2;2018;2019;2020;2021
03 Poder Judicial;Poder Judicial;6,483;4,334;4,011;0,702
05 Ministerio del Interior y Seguridad Pública;MININTERIOR;0;0;0;0
06 Ministerio de Relaciones Exteriores;MINREL;3073,074;3776,755;3990,484;3575,51
07 Ministerio de Economía, Fomento y Turismo;MINECON;66364,425;53343,372;33980,52;32833,625
08 Ministerio de Hacienda;MINHACIENDA;0;17,5;61,594;18,116
09 Ministerio de Educación;MINEDUC;315013,949;320036,856;34770,673;33105,713
11 Ministerio de Defensa Nacional;MINDEFENSA;1426,505;1761,282;304,473;575,031
12 Ministerio de Obras Públicas;MOP;113,944;129,732;5,477;72,539
13 Ministerio de Agricultura;MINAGRI;13010,716;14809,059;15902,277;16406,903
16 Ministerio de Salud;MINSAL;499,11;569,538;967,806;819,709
17 Ministerio de Minería;MINMINERIA;4079,176;4262,889;5976,706;5190,479
20 Ministerio Secretaría General de Gobierno;SEGEGOB;10;6,298;0;0
24 Ministerio de Energía;MINENERGIA;196,911;87,831;20,169;25,31
25 Ministerio del Medio Ambiente;MMA;0;0;0;0
Incentivo Tributario I+D;Ley I+D;8360,123;7205,372;7854,562;9377,211
MinCiencia;MINCIENCIA;0;0;311088,102;345682,748
MinDeporte;MINDEPORTE;0;0;30;22,485
MINVU;MINVU;0;0;30;70
GORE;GORE;10429,902;9993,12;10329,569;11392,868
