Año;Tipo.UI;Cuadrante;Partida.Institucional;Institución;Programa.pptario;Clasificador;Partida.de.gastos;Programa/.Instrumento/.Concurso;Nombre.de.la.Iniciativa;Código;OSE.(NABS).Categoría;OSE.(NABS).Subcategoría;SE;Región;EG;ECC;MF;GBARD.M$.corriente;GBARD
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Investigación y Desarrollo de Nuevos Envases Termoformado con adhesivos (Coating) del tipo Activo y Convencional cargadas Electrostáticamente a través de Microaspersión Ultrasónica localizada, para Productos Cárnicos y de Fruta;PI-104020;6. Producción y tecnología industrial;;Empresas;Metropolitana de Stgo.;sin EG;con ECC;Asignación directa;61668,72377;64073,804
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Consorcio I+D Vinos: Aumento de la competitividad de la industria mediante el mejoramiento de la sustentabilidad y la calidad del viñedo.;PI-1108;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;152348,5142;158290,1062
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Consorcio I+D Vinos: Aumento de la competitividad de la industria mediante el mejoramiento de la sustentabilidad y la calidad del viñedo.;PI-1108;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;146175,3976;146175,3976
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Selección de líneas genéticas avanzadas y/o variedades de carozos introducidas en Chile desde el PMG francés Agro Selection Fruits (ASF), a través de la validación de su comportamiento bajo las condiciones edafoclimáticas en diferentes zonas producti;PI-1187;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;4620,663845;4800,869735
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Selección de líneas genéticas avanzadas y/o variedades de carozos introducidas en Chile desde el PMG francés Agro Selection Fruits (ASF), a través de la validación de su comportamiento bajo las condiciones edafoclimáticas en diferentes zonas producti;PI-1187;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;7320,624325;7320,624325
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;ANA 2014_Estudio y evaluación del comportamiento de germoplasma para la obtención de variedades frutícolas sustancialmente mejoradas;PI-1252;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;4010,382677;4166,787601
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;ANA 2014_Estudio y evaluación del comportamiento de germoplasma para la obtención de variedades frutícolas sustancialmente mejoradas;PI-1252;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;43930,78165;43930,78165
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Mejoramiento genético de maíz choclero para la obtención de variedades precoces resistentes a carbón de la panoja y carbón común;PI-1285;8. Agricultura;;Empresas;O'Higgins;sin EG;sin ECC;Asignación directa;2860,098938;2971,642796
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo y validación de prototipos experimentales de vacunas contra los principales patógenos virales y bacterianos que afectan a salmones en cultivo, y ensayos de escalamiento que permitan obtener productos a escala piloto acordes a las necesidades de la industria salmonicultora nacional.;PI-1700;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;95356,89036;99075,80908
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo y validación de prototipos experimentales de vacunas contra los principales patógenos virales y bacterianos que afectan a salmones en cultivo, y ensayos de escalamiento que permitan obtener productos a escala piloto acordes a las necesidades de la industria salmonicultora nacional.;PI-1700;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;19642,89749;19642,89749
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo e implementación de tecnologías de engorde para el cierre del ciclo productivo e inicio definitivo de la industria de Seriola lalandi en Chile, que permita, mediante un proceso de difusión completo e integral, incorporar en un corto plazo a nuevos participantes y contribuir de manera eficaz a la diversificación del sector acuícola nacional;PI-2137;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;con ECC;Asignación directa;146414,1153;152124,2658
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo e implementación de tecnologías de engorde para el cierre del ciclo productivo e inicio definitivo de la industria de Seriola lalandi en Chile, que permita, mediante un proceso de difusión completo e integral, incorporar en un corto plazo a nuevos participantes y contribuir de manera eficaz a la diversificación del sector acuícola nacional;PI-2137;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;con ECC;Asignación directa;175428,4728;175428,4728
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Demostración inicial y validación piloto del establecimiento y producción de la nueva variedad de kiwi amarillo precoz Dori® (AC1536), en dos condiciones edafoclimáticas, bajo un sistema de cobertura plástica fija;PI-2168;8. Agricultura;;Empresas;O'Higgins;sin EG;sin ECC;Asignación directa;15370,39608;15969,84153
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Demostración inicial y validación piloto del establecimiento y producción de la nueva variedad de kiwi amarillo precoz Dori® (AC1536), en dos condiciones edafoclimáticas, bajo un sistema de cobertura plástica fija;PI-2168;8. Agricultura;;Empresas;O'Higgins;sin EG;sin ECC;Asignación directa;11937,84735;11937,84735
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo, escalamiento y validación de prototipos de vacunas para prevenir la infestación por Cáligus rogercresseyi en salmónidos;PI-2194;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;49590,86191;51524,90553
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo de cannabis medicinal como alternativa terapéutica para tratamiento de dolor;PI-2274;7. Sanidad;;Empresas;Valparaíso;sin EG;sin ECC;Asignación directa;3157,978723;3281,139893
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo de cannabis medicinal como alternativa terapéutica para tratamiento de dolor;PI-2274;7. Sanidad;;Empresas;Valparaíso;sin EG;sin ECC;Asignación directa;2854,874985;2854,874985
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;DESARROLLO DE UN AISLADOR SÍSMICO CINEMÁTICO FRICCIONAL DE COSTO REDUCIDO, APLICABLE A ESTRUCTURAS PESADAS/LIVIANAS Y MASA VARIABLE;PI-2336;4. Transporte, telecomunicaciones y otras infraestructuras;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;4749,461906;4934,69092
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Adaptación agroclimática de nuevas selecciones avanzadas y variedades de manzanas de distintos programas genéticos internacionales para su producción y exportación;PI-2409;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;3850,771061;4000,951132
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Adaptación agroclimática de nuevas selecciones avanzadas y variedades de manzanas de distintos programas genéticos internacionales para su producción y exportación;PI-2409;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;5462,918062;5462,918062
